TARGET,성별,차량 소유 여부,부동산 소유 여부,자녀 수,연간 수입,수입 유형,최종 학력,결혼 여부,주거 형태,거주지 인구 비율,업무용 휴대전화 소유 여부,이메일 소유 여부,직업,가족 구성원 수,산업군,나이,근속연수,가입연수,자녀수_구간,연간수입_로그,배우자유무,산업군_상위,근속구간,1인당소득
0,여성,1,1,2,18054000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.00496,0,0,Unknown,4.0,기타 1,39,1000,23.0,2,16.708877880229622,1.0,기타,Retired,4.1772194700574055
0,남성,1,0,0,59472000.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.018029,1,0,기술직,2.0,사업 1,45,4,16.0,0,17.901016188333806,1.0,사업,2-5Y,8.950508094166903
0,여성,0,1,0,29736000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0105,1,0,단순 노동자,2.0,사업 0,32,3,9.0,0,17.207869024588497,1.0,사업,2-5Y,8.603934512294249
0,여성,1,0,1,38232000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.004849,1,0,Unknown,3.0,산업 4,34,6,12.0,1,17.45918344539623,1.0,산업,5-10Y,5.819727815132077
0,여성,0,1,0,26550000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.025164,1,0,Unknown,2.0,사업 2,38,0,4.0,0,17.094540343317004,1.0,사업,Under 2Y,8.547270171658502
0,여성,1,0,0,21240000.0,근로자,고등학교 졸업,미혼,아파트 임대,0.018634,1,0,핵심 노동자,1.0,무역 0,30,8,1.0,0,16.87139680141899,0.0,무역,5-10Y,16.87139680141899
0,여성,0,1,0,37170000.0,근로자,고등학교 졸업,미혼,주택 / 아파트,0.0116569999999999,1,0,단순 노동자,1.0,사업 2,52,8,23.0,0,17.43101256917685,0.0,사업,5-10Y,17.43101256917685
0,남성,1,1,1,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.00963,1,0,기술직,3.0,사업 2,46,8,13.0,1,17.564543958438446,1.0,사업,5-10Y,5.854847986146148
0,여성,0,0,0,31860000.0,기타,고등학교 졸업,기혼,공공분양,0.031329,1,0,단순 노동자,2.0,전기,61,0,40.0,0,17.276861893833495,1.0,전기,Under 2Y,8.638430946916747
0,남성,1,0,0,37170000.0,근로자,저학력자,미혼,아파트 임대,0.0105,1,0,단순 노동자,1.0,사업 2,32,5,13.0,0,17.43101256917685,0.0,사업,5-10Y,17.43101256917685
0,여성,0,1,0,30798000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.0066709999999999,0,0,Unknown,2.0,기타 1,61,1000,8.0,0,17.242960343240135,1.0,기타,Retired,8.621480171620068
0,남성,1,1,2,53100000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.035792,1,0,운전자,4.0,운송 1,38,1,0.0,2,17.78768750504456,1.0,운송,Under 2Y,4.44692187626114
1,여성,0,1,1,10620000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.009175,1,0,Unknown,3.0,학교,43,2,6.0,1,16.178249667940023,1.0,학교,2-5Y,5.3927498893133405
1,남성,1,1,0,47790000.0,기타,대학교 졸업 이상,미혼,주택 / 아파트,0.011703,1,0,요식업 종사자,1.0,사업 0,31,1,31.0,0,17.682326991479222,0.0,사업,Under 2Y,17.682326991479222
0,여성,0,1,0,31860000.0,근로자,고등학교 졸업,사실혼,주택 / 아파트,0.025164,1,0,핵심 노동자,2.0,의학,48,11,27.0,0,17.276861893833495,1.0,의학,10-20Y,8.638430946916747
0,여성,0,1,0,20178000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.00496,0,0,Unknown,2.0,기타 1,61,1000,2.0,0,16.820103509509387,1.0,기타,Retired,8.410051754754694
0,남성,0,1,0,71154000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.01885,1,0,운전자,2.0,자영업,49,12,28.0,0,18.08035711422901,1.0,자영업,10-20Y,9.040178557114505
0,여성,0,1,0,26550000.0,근로자,저학력자,사실혼,주택 / 아파트,0.028663,1,0,영업직,2.0,사업 2,44,5,19.0,0,17.094540343317004,1.0,사업,5-10Y,8.547270171658502
0,여성,0,1,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.030755,1,0,단순 노동자,2.0,자영업,34,8,18.0,0,16.87139680141899,1.0,자영업,5-10Y,8.435698400709494
0,여성,1,1,0,40356000.0,기타,대학교 졸업 이상,기혼,오피스텔,0.035792,1,0,핵심 노동자,2.0,대학교,50,0,18.0,0,17.51325066528987,1.0,대학교,Under 2Y,8.756625332644935
0,여성,0,0,1,14018400.0,근로자,대학교 졸업 이상,기혼,주택 / 아파트,0.015221,1,0,의료 업계 종사자,3.0,의학,36,15,9.0,1,16.455881381711162,1.0,의학,10-20Y,5.485293793903721
0,남성,0,0,1,90270000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.020713,1,0,Unknown,3.0,산업 3,28,4,3.0,1,18.318315748352216,1.0,산업,2-5Y,6.106105249450739
0,남성,1,0,1,63720000.0,근로자,고등학교 졸업,기혼,오피스텔,0.006233,1,0,단순 노동자,3.0,군대,27,9,5.0,1,17.97000905869978,1.0,군대,5-10Y,5.990003019566593
1,여성,0,1,0,26550000.0,근로자,고등학교 졸업,사실혼,주택 / 아파트,0.035792,1,0,Unknown,2.0,기타 0,47,1,24.0,0,17.094540343317004,1.0,기타,Under 2Y,8.547270171658502
0,남성,1,0,0,42480000.0,기타,고등학교 졸업,기혼,주택 / 아파트,0.00496,1,0,관리직,2.0,레스토랑,41,0,25.0,0,17.564543958438446,1.0,레스토랑,Under 2Y,8.782271979219223
0,여성,0,0,0,27612000.0,근로자,고등학교 졸업,미혼,공공분양,0.04622,1,0,단순 노동자,1.0,산업 10,51,1,34.0,0,17.13376105502164,0.0,산업,Under 2Y,17.13376105502164
0,남성,1,1,0,26550000.0,연금수령자,고등학교 졸업,기혼,주택 / 아파트,0.019101,0,0,Unknown,2.0,기타 1,59,1000,21.0,0,17.094540343317004,1.0,기타,Retired,8.547270171658502
0,여성,1,1,0,21240000.0,근로자,고등학교 졸업,기혼,주택 / 아파트,0.0145199999999999,1,0,영업직,2.0,무역 0,52,6,28.0,0,16.87139680141899,1.0,무역,5-10Y,8.435698400709494
0,여성,0,1,0,31860000.0,연금수령자,대학교 졸업 이상,미혼,주택 / 아파트,0.018029,0,0,Unknown,1.0,기타 1,67,1000,4.0,0,17.276861893833495,0.0,기타,Retired,17.276861893833495
